Test completed successfully.
         110257 function calls (107810 primitive calls) in 20.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    126/1    0.000    0.000   20.070   20.070 {built-in method builtins.exec}
        1    0.000    0.000   20.070   20.070 test.py:1(<module>)
        1    0.000    0.000   20.017   20.017 test.py:24(test_continually_run_mcts)
        1   20.003   20.003   20.003   20.003 {built-in method time.sleep}
       10    0.000    0.000    0.131    0.013 __init__.py:1(<module>)
    152/6    0.000    0.000    0.061    0.010 <frozen importlib._bootstrap>:1349(_find_and_load)
    152/6    0.000    0.000    0.060    0.010 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    147/6    0.000    0.000    0.060    0.010 <frozen importlib._bootstrap>:911(_load_unlocked)
    125/6    0.000    0.000    0.060    0.010 <frozen importlib._bootstrap_external>:1020(exec_module)
   365/12    0.000    0.000    0.059    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    356/6    0.000    0.000    0.054    0.009 {built-in method builtins.__import__}
   186/34    0.000    0.000    0.053    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.019    0.019 __config__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.014    0.014 defmatrix.py:1(<module>)
  147/138    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.013    0.013 _linalg.py:1(<module>)
    21/18    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
    21/18    0.011    0.001    0.013    0.001 {built-in method _imp.create_dynamic}
      125    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
  239/131    0.000    0.000    0.009    0.000 typing.py:426(inner)
        3    0.000    0.000    0.008    0.003 context.py:100(Queue)
        1    0.000    0.000    0.008    0.008 queues.py:1(<module>)
        1    0.000    0.000    0.007    0.007 connection.py:1(<module>)
      151    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.006    0.006 multiarray.py:1(<module>)
      125    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      125    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
      150    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      150    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      184    0.000    0.000    0.005    0.000 typing.py:1423(__init__)
        1    0.000    0.000    0.004    0.004 tempfile.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _machar.py:1(<module>)
      273    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        2    0.000    0.000    0.004    0.002 process.py:142(join)
        2    0.000    0.000    0.004    0.002 popen_fork.py:37(wait)
        3    0.000    0.000    0.004    0.001 popen_fork.py:25(poll)
        3    0.004    0.001    0.004    0.001 {built-in method posix.waitpid}
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
  244/243    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
       50    0.000    0.000    0.004    0.000 typing.py:580(__getitem__)
      125    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.003    0.003 reduction.py:1(<module>)
       50    0.000    0.000    0.003    0.000 typing.py:812(Literal)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
    85/30    0.000    0.000    0.003    0.000 typing.py:1452(__getitem__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      187    0.001    0.000    0.003    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.001    0.001    0.003    0.003 pickle.py:1(<module>)
      265    0.000    0.000    0.003    0.000 overrides.py:144(decorator)
       67    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
       67    0.000    0.000    0.003    0.000 typing.py:753(Union)
        1    0.000    0.000    0.003    0.003 mcts_agent.py:1(<module>)
      125    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      373    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
    85/30    0.000    0.000    0.002    0.000 typing.py:1483(_determine_new_args)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
    85/30    0.000    0.000    0.002    0.000 typing.py:1512(_make_substitution)
      221    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 einsumfunc.py:1(<module>)
      230    0.000    0.000    0.001    0.000 overrides.py:85(verify_matching_signatures)
        1    0.000    0.000    0.001    0.001 mcts.py:1(<module>)
       25    0.000    0.000    0.001    0.000 typing.py:1446(__or__)
        7    0.000    0.000    0.001    0.000 enum.py:896(_convert_)
      594    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1416    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      208    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.001    0.001 numeric.py:1(<module>)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
      594    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     8549    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      310    0.000    0.000    0.001    0.000 function_base.py:486(add_newdoc)
       30    0.000    0.000    0.001    0.000 typing.py:1762(copy_with)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 inference_batcher.py:1(<module>)
    15036    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:1(<module>)
        2    0.000    0.000    0.001    0.001 process.py:110(start)
     1284    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
       11    0.000    0.000    0.001    0.000 _compiler.py:743(compile)
     2134    0.001    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
        2    0.000    0.000    0.001    0.001 context.py:279(_Popen)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
      460    0.000    0.000    0.001    0.000 _inspect.py:97(getargspec)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.001    0.001 format.py:1(<module>)
      270    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
       14    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
        2    0.000    0.000    0.001    0.000 popen_fork.py:16(__init__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        2    0.000    0.000    0.001    0.000 popen_fork.py:63(_launch)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        7    0.000    0.000    0.001    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 kalah.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      309    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
     1716    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      125    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _format_impl.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:1751(convert_class)
      184    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       55    0.000    0.000    0.001    0.000 typing.py:1574(copy_with)
      242    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
       76    0.000    0.000    0.001    0.000 typing.py:1813(__hash__)
        2    0.001    0.000    0.001    0.000 {built-in method posix.fork}
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
       11    0.000    0.000    0.001    0.000 _parser.py:970(parse)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        8    0.000    0.000    0.001    0.000 typing.py:2998(__new__)
        3    0.000    0.000    0.001    0.000 queues.py:35(__init__)
  960/955    0.000    0.000    0.001    0.000 {built-in method __new__ of type object at 0x104f03cf0}
    18/11    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
    18/11    0.000    0.000    0.001    0.000 _parser.py:511(_parse)
        1    0.000    0.000    0.001    0.001 _add_docstring.py:1(<module>)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 _add_docstring.py:27(_parse_docstrings)
     3205    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      193    0.000    0.000    0.000    0.000 __init__.py:164(match)
      460    0.000    0.000    0.000    0.000 _inspect.py:66(getargs)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _compiler.py:576(_code)
       67    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
     4462    0.000    0.000    0.000    0.000 typing.py:1803(<genexpr>)
        8    0.000    0.000    0.000    0.000 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 getlimits.py:168(_register_known_types)
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:1449(__ror__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      432    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      117    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
      321    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
     3251    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1737    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      128    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        6    0.000    0.000    0.000    0.000 getlimits.py:36(__init__)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     1830    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     3210    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:838(_mac_os_check)
    35/11    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
     3082    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
