top - 11:36:50 up 220 days, 20:48, 100 users,  load average: 97.77, 81.24, 44.38
Tasks: 1357 total,  85 running, 1257 sleeping,   9 stopped,   6 zombie
%Cpu(s): 99.3 us,  0.5 sy,  0.1 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
MiB Mem : 3096095.+total, 839604.3 free, 194319.6 used, 2062171.+buff/cache
MiB Swap: 131072.0 total, 116830.4 free,  14241.6 used. 2885965.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2115090 hzv143    20   0 3608332 508212 214572 R  95.7   0.0   8:15.45 python
2115095 hzv143    20   0 3606780 507348 215200 R  95.7   0.0   8:18.91 python
2102715 sxa510    20   0   33.7g  50012  27664 S  91.3   0.0  87958:07 java
2115051 hzv143    20   0 3603200 503756 215152 R  91.3   0.0   8:18.97 python
2115052 hzv143    20   0 3607296 507252 214692 R  91.3   0.0   8:22.21 python
2115053 hzv143    20   0 3606272 504096 212396 R  91.3   0.0   8:19.23 python
2115054 hzv143    20   0 3600896 500340 213344 R  91.3   0.0   7:57.34 python
2115056 hzv143    20   0 3603328 503640 214280 R  91.3   0.0   8:15.39 python
2115057 hzv143    20   0 3608460 509208 215156 R  91.3   0.0   8:17.94 python
2115060 hzv143    20   0 3606272 507096 214936 R  91.3   0.0   7:55.11 python
2115062 hzv143    20   0 3606272 506788 215232 R  91.3   0.0   7:59.43 python
2115063 hzv143    20   0 3604224 504108 214192 R  91.3   0.0   7:34.79 python
2115065 hzv143    20   0 3606144 507348 215228 R  91.3   0.0   8:08.32 python
2115067 hzv143    20   0 3603320 503676 214500 R  91.3   0.0   8:14.66 python
2115068 hzv143    20   0 3605248 504208 212720 R  91.3   0.0   7:59.88 python
2115069 hzv143    20   0 3605520 506132 215136 R  91.3   0.0   7:22.87 python
2115071 hzv143    20   0 3606400 505156 213460 R  91.3   0.0   8:19.96 python
2115072 hzv143    20   0 3603196 504116 215220 R  91.3   0.0   7:55.79 python
2115073 hzv143    20   0 3602044 501948 214144 R  91.3   0.0   8:19.03 python
2115076 hzv143    20   0 3604220 503896 213552 R  91.3   0.0   7:28.06 python
2115077 hzv143    20   0 3605120 505948 214780 R  91.3   0.0   7:10.34 python
2115079 hzv143    20   0 3604220 505384 215316 R  91.3   0.0   7:27.37 python
2115080 hzv143    20   0 3606412 507192 215036 R  91.3   0.0   7:51.78 python
2115081 hzv143    20   0 3602044 502564 215012 R  91.3   0.0   7:55.39 python
2115083 hzv143    20   0 3607296 507600 215208 R  91.3   0.0   8:01.05 python
2115084 hzv143    20   0 3605112 503736 212720 R  91.3   0.0   8:00.63 python
2115089 hzv143    20   0 3606540 506464 214004 R  91.3   0.0   8:01.79 python
2115091 hzv143    20   0 3602300 501840 213596 R  91.3   0.0   8:13.08 python
2115092 hzv143    20   0 3606396 507464 215112 R  91.3   0.0   7:51.61 python
2115094 hzv143    20   0 3604344 505344 215276 R  91.3   0.0   7:32.10 python
2115096 hzv143    20   0 3602040 501584 213500 R  91.3   0.0   7:52.91 python
2115098 hzv143    20   0 3605248 505156 213972 R  91.3   0.0   8:12.70 python
2115099 hzv143    20   0 3606268 507404 215144 R  91.3   0.0   8:03.35 python
2115101 hzv143    20   0 3603328 504564 215228 R  91.3   0.0   7:38.57 python
2115102 hzv143    20   0 3605248 506008 214660 R  91.3   0.0   7:48.92 python
2115103 hzv143    20   0 3607432 507824 214948 R  91.3   0.0   7:36.86 python
2115106 hzv143    20   0 3601152 501716 214780 R  91.3   0.0   7:56.08 python
2115108 hzv143    20   0 3607436 507228 214412 R  91.3   0.0   7:38.63 python
2115109 hzv143    20   0 3607288 508436 215228 R  91.3   0.0   7:52.65 python
2115113 hzv143    20   0 3606272 506212 214416 R  91.3   0.0   7:57.37 python
2115114 hzv143    20   0 3606268 506516 215124 R  91.3   0.0   7:31.71 python
2115116 hzv143    20   0 3606652 507256 215140 R  91.3   0.0   7:57.30 python
2115120 hzv143    20   0 3606268 507656 215280 R  91.3   0.0   8:15.87 python
2115122 hzv143    20   0 3606776 507108 215160 R  91.3   0.0   8:07.06 python
2402392 sxa510    20   0   33.7g  49872  27584 S  91.3   0.0  88053:23 java
2115055 hzv143    20   0 3601152 501540 214436 R  87.0   0.0   7:48.47 python
2115059 hzv143    20   0 3606264 507184 214696 R  87.0   0.0   8:04.20 python
2115070 hzv143    20   0 3605240 505104 213840 R  87.0   0.0   8:02.97 python
2115074 hzv143    20   0 3606776 504720 212516 R  87.0   0.0   7:34.05 python
2115082 hzv143    20   0 3600892 499728 212768 R  87.0   0.0   7:25.88 python
2115105 hzv143    20   0 3607564 507004 213712 R  87.0   0.0   8:04.04 python
2115107 hzv143    20   0 3601276 502256 215096 R  87.0   0.0   7:45.42 python
2911291 sxa510    20   0   34.0g  50464  27676 S  87.0   0.0  87144:24 java
2115087 hzv143    20   0 3602168 502752 214580 R  78.3   0.0   7:39.19 python
2115088 hzv143    20   0 3601152 499744 212972 R  78.3   0.0   8:20.82 python
2115058 hzv143    20   0 3606540 506640 214180 R  73.9   0.0   7:59.87 python
2115085 hzv143    20   0 3605120 505376 214096 R  73.9   0.0   7:46.66 python
2115104 hzv143    20   0 3606268 507444 215068 R  73.9   0.0   8:05.43 python
2115112 hzv143    20   0 3605244 505960 215032 R  73.9   0.0   7:37.19 python
2641423 sxa510    20   0   33.7g  50092  27700 S  73.9   0.0  87203:29 java
2115093 hzv143    20   0 3601152 500680 213716 R  69.6   0.0   8:20.60 python
2115100 hzv143    20   0 3606396 506852 215008 R  65.2   0.0   7:35.70 python
2115111 hzv143    20   0 3606392 507732 215088 R  65.2   0.0   7:43.32 python
2115118 hzv143    20   0 3605628 506672 215076 R  65.2   0.0   7:35.22 python
2115086 hzv143    20   0 3605244 504852 213900 R  56.5   0.0   7:33.85 python
2115064 hzv143    20   0 3606268 507300 215048 R  52.2   0.0   7:57.51 python
2115075 hzv143    20   0 3607288 507064 214192 R  47.8   0.0   8:18.92 python
2115061 hzv143    20   0 3601152 499148 212052 R  39.1   0.0   7:34.03 python
2118362 hzv143    20   0   14892   5360   3456 R  13.0   0.0   0:00.06 top
   2479 libvirt+  20   0   33.3g  20.4g  20396 S   4.3   0.7  10332:27 qemu-system-x86
1734730 10219121  20   0 1485912 296168  16764 S   4.3   0.0   3470:15 gcs_server
1736042 10219121  20   0  394456  70664  28304 S   4.3   0.0   4783:20 python3
1832102 10219121  35  15  191.1g  69540  30648 S   4.3   0.0 642:36.29 ray::IDLE
1832103 10219121  35  15  191.1g  68588  30348 S   4.3   0.0 642:18.26 ray::IDLE
1832379 10219121  35  15  191.0g  69152  30244 S   4.3   0.0 645:26.51 ray::IDLE
1832380 10219121  35  15  191.0g  69020  30584 S   4.3   0.0 672:56.01 ray::IDLE
1832642 10219121  35  15  191.0g  69568  30704 S   4.3   0.0 643:03.38 ray::IDLE
1832740 10219121  35  15  191.0g  68956  30196 R   4.3   0.0 645:48.70 ray::IDLE
1832742 10219121  35  15  191.0g  69356  30420 S   4.3   0.0 646:11.25 ray::IDLE
3711891 nut749    20   0   42.2g   5.0g 561592 S   4.3   0.2 137:50.39 pt_main_thread
      1 root      20   0  169308  14956   8508 S   0.0   0.0 107:42.11 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:23.08 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     14 root      20   0       0      0      0 S   0.0   0.0   5:14.84 ksoftirqd/0
     15 root      20   0       0      0      0 I   0.0   0.0 268:03.76 rcu_sched
     16 root      rt   0       0      0      0 S   0.0   0.0   2:06.19 migration/0
     17 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     21 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     22 root      rt   0       0      0      0 S   0.0   0.0   2:04.44 migration/1
     23 root      20   0       0      0      0 S   0.0   0.0   2:14.84 ksoftirqd/1
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-kblockd
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     27 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     28 root      rt   0       0      0      0 S   0.0   0.0   1:57.92 migration/2
     29 root      20   0       0      0      0 S   0.0   0.0   1:40.96 ksoftirqd/2
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     33 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     34 root      rt   0       0      0      0 S   0.0   0.0   1:52.53 migration/3
     35 root      20   0       0      0      0 S   0.0   0.0   1:33.17 ksoftirqd/3
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     39 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     40 root      rt   0       0      0      0 S   0.0   0.0   1:51.85 migration/4
     41 root      20   0       0      0      0 S   0.0   0.0   1:26.13 ksoftirqd/4
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-kblockd
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     45 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     46 root      rt   0       0      0      0 S   0.0   0.0   1:50.17 migration/5
     47 root      20   0       0      0      0 S   0.0   0.0   1:20.58 ksoftirqd/5
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
